Distributor Location Code;Distributor Location Name;Distributor Sales Rep Number;Distributor Sales Rep Name;Diversey Rebate Contract Number;Distributor Invoice Number;Date Shipped;Customer Bill-To Account Number;Customer Bill-To Name;Bill-To Address;Bill-To Address2;Bill-To City;Bill-To State;Bill-To Zip;Customer Ship-To Account Number;Customer Ship-To Name;Ship-To Address;Ship-To Address2;Ship-To City;Ship-To State;Ship-To Zip;Diversey Product Code;Diversey Product Description;Quantity;Rebate Amount Requested;UOM;Distributor Extended Cost;Dist SKU code;User Field 1 Code;User Field 1 Description;User Field 2 Code;User Field 2 Description;SIC;HIN
DUMFRIES;DUMFRIES;33;Jeffrey Homan;;776210;2022-01-28;2880;GOLDEN GATE SERVICE  INC.;2812 OLD LEE HWY ;SUITE 300;FAIRFAX;VA;22031;0002880-00000055;PUBLIC SAFETY TRAINING CENTER;13101 PUBLIC SAFETY DRIVE;;NOKESVILLE;VA;20181;4329;VIREX II 256 2/2.5-L J-FILL ** US EPA **;1;0.557;CT;55.7;;;;;;;
DUMFRIES;DUMFRIES;33;Jeffrey Homan;;776222;2022-01-25;2880;GOLDEN GATE SERVICE  INC.;2812 OLD LEE HWY ;SUITE 300;FAIRFAX;VA;22031;0002880-00000050;F&R WAREHOUSE;8410 KAO CIRCLE;;MANASSAS;VA;20110;5104837;IRON STONE ACRYLIC SEAL 5GAL CT;-2;0.8392000000000001;CT;83.92;;;;;;;
DUMFRIES;DUMFRIES;33;Jeffrey Homan;;776295;2022-01-28;311;ASSOCIATED BUILDING MAINT. CO.;2140 PRIESTBRIDGE CT;SUITE 3;CROFTON;MD;21114;0000311-00008638;DULLES MAIN TERMINAL;MAIN TERMINAL;45425 HOLIDAY DR;STERLING;VA;20166;94995295;EMEREL MS CREME CLEANSER 12/32 OZ/CS;1;0.4571;CS;45.71;;;;;;;
DUMFRIES;DUMFRIES;33;Jeffrey Homan;;776296;2022-01-28;311;ASSOCIATED BUILDING MAINT. CO.;2140 PRIESTBRIDGE CT;SUITE 3;CROFTON;MD;21114;0000311-00008639;DULLES CONCOURSE B;CONCOURSE B;45425 HOLIDAY DR;STERLING;VA;20166;94995295;EMEREL MS CREME CLEANSER 12/32 OZ/CS;1;0.4571;CS;45.71;;;;;;;
DUMFRIES;DUMFRIES;21;James Homan;;776365;2022-01-28;368;L.T. SERVICES;2815 HARTLAND RD;SUITE 300;FALLS CHURCH;VA;22043;0000368-00004211;COURT SQUARE WEST;1400 N. UHLE ST;;ARLINGTON;VA;;4705;GLANCE GLASS & SURFACE CLEANER 12/32OZ RTU;1;0.2687;CT;26.87;;;;;;;
DUMFRIES;DUMFRIES;21;James Homan;;776366;2022-01-28;368;L.T. SERVICES;2815 HARTLAND RD;SUITE 300;FALLS CHURCH;VA;22043;0000368-00004301;WALTER REED COMMUNITY;2909 16TH STREET SOUTH;;ARLINGTON;VA;22204;4705;GLANCE GLASS & SURFACE CLEANER 12/32OZ RTU;1;0.2687;CT;26.87;;;;;;;
DUMFRIES;DUMFRIES;14;Vicky Lutman - Bids;;P65940;2022-01-13;329;MANASSAS PARK FIRE DEPT;9080 MANASSAS DR;;MANASSAS PARK;VA;20111;0000329-00000001;MANASSAS PARK FIRE DEPT;9080 MANASSAS DR;;MANASSAS PARK;VA;20111;4277285;OXIVIR HOSPITAL GRADE TB DISENFECTANT 12 QT/CS RTU **;1;0.5278;CS;52.78;;;;;;;
DUMFRIES;DUMFRIES;1;House;;P65967;2022-01-19;3000;OFFICE C.O.D.;;;;;;0003000-00003567;BITE OF GREEN  INC;9961 GOOD LUCK ROAD;UNIT 202;LANHAM;MD;20706;904192;GENERAL PURPOSE SPOTTER W/ PERCOLATOR 6/32OZ SPRAY;1;0.3171;EA;31.71;;;;;;;
DUMFRIES;DUMFRIES;1;House;;P65979;2022-01-19;3561;INTERNET ORDERS;16815 INTERSTATE DR;;DUMFRIES;VA;22026;0003561-00003838;FAITHFUL SUPPLY LLC;62 CORTLAND PL;;CLIFFSIDE PARK;NJ;07010-2818;4234150;SPEEDBALL TM/MC 2000 H-DTY SPRY CLNR 2.5L 2/CS;1;0.8189000000000001;CT;81.89;;;;;;;
DUMFRIES;DUMFRIES;7;Pat Meisels;;P65996;2022-01-20;5026;RAYTHEON INTELLIGENCE & INFO;14280-B SULLYFIELD CIR;;CHANTILLY ;VA;20151;0005026-00000002;RAYTHEON;14280-B SULLYFIELD CIR;;CHANTILLY;VA;20151;696503;WINDEX GLASS CLNR 4GAL/CS ;1;0.3564;EA;35.64;;;;;;;
DUMFRIES;DUMFRIES;17;Chris Basinger;;P66005;2022-01-21;2944;PROGRESS CLEANING SERVICE INC.;PO BOX 2669;;WOODBRIDGE;VA;22195;0002944-00000001;PROGRESS CLEANING SERVICE INC.;PO BOX 2669;;WOODBRIDGE;VA;22195;903904;STRIDE CITRUS NEUTRAL CLNR 4G/CT;1;0.2973;CT;29.73;;;;;;;
